file,func,line,C1,C2,C3,C4,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,complexity_score,vulnerability_score
/home/arpan/Documents/CBMC/libxslt/libxslt/attrvt.c,xsltSetAttrVTsegment,147,2,0,0,0,2,3,0,0,0,0,1,0,1,0,1,2,8
/home/arpan/Documents/CBMC/libxslt/libxslt/attrvt.c,xsltCompileAttr,171,28,1,0,1,2,5,0,0,0,0,1,0,0,3,0,30,11
/home/arpan/Documents/CBMC/libxslt/libxslt/attrvt.c,xsltEvalAVT,359,4,1,0,1,3,0,0,0,0,0,1,0,1,0,2,6,7
/home/arpan/Documents/CBMC/libxslt/libxslt/documents.c,xsltDocDefaultLoaderFunc,61,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,5
/home/arpan/Documents/CBMC/libxslt/libxslt/documents.c,xsltSetLoaderFunc,121,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,3
/home/arpan/Documents/CBMC/libxslt/libxslt/documents.c,xsltNewDocument,144,2,0,0,0,2,3,0,0,0,0,1,0,0,0,0,2,6
/home/arpan/Documents/CBMC/libxslt/libxslt/documents.c,xsltNewStyleDocument,183,1,0,0,0,2,3,0,0,0,0,1,0,0,0,0,1,6
/home/arpan/Documents/CBMC/libxslt/libxslt/documents.c,xsltFreeStyleDocuments,210,2,1,0,1,1,4,0,0,0,0,1,0,0,1,0,4,7
/home/arpan/Documents/CBMC/libxslt/libxslt/documents.c,xsltFreeDocuments,251,3,2,0,1,1,4,0,0,0,0,1,0,0,0,0,6,6
/home/arpan/Documents/CBMC/libxslt/libxslt/documents.c,xsltLoadDocument,285,3,1,0,1,2,7,0,0,0,0,1,0,3,2,3,5,18
/home/arpan/Documents/CBMC/libxslt/libxslt/documents.c,xsltLoadStyleDocument,359,3,1,0,1,2,3,0,0,0,0,1,0,0,0,0,5,6
/home/arpan/Documents/CBMC/libxslt/libxslt/documents.c,xsltFindDocument,415,2,1,0,1,2,0,0,0,0,0,1,0,1,1,2,4,7
/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltNewExtDef,107,1,0,0,0,2,4,0,0,0,0,1,0,0,2,0,1,9
/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltFreeExtDef,132,1,0,0,0,1,2,0,0,0,0,1,0,0,3,0,1,7
/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltFreeExtDefList,150,1,1,0,1,1,2,0,0,0,0,1,0,0,0,0,3,4
/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltNewExtModule,173,1,0,0,0,4,1,0,0,0,0,1,0,0,0,0,1,6
